Time,Ax,Ay,Az,Gx,Gy,Gz
0.027027027,0.068115234,-0.107910156,1.035888672,-0.858306885,1.399993896,3.90625
0.054054054,0.066894531,-0.111328125,1.029296875,2.853393555,-3.307342529,-1.457214355
0.081081081,0.069580078,-0.111328125,1.036865234,0.709533691,-2.155303955,1.224517822
0.108108108,0.075195313,-0.115234375,1.032714844,0.316619873,-1.388549805,0.072479248
0.135135135,0.068359375,-0.107666016,1.040039063,-2.422332764,-2.540588379,-1.075744629
0.162162162,0.065185547,-0.112548828,1.035400391,2.666473389,-3.307342529,0.629425049
0.189189189,0.069580078,-0.109863281,1.035888672,0.316619873,-0.23651123,-0.308990479
0.216216216,0.066162109,-0.109619141,1.037841797,-1.251220703,-1.384735107,1.224517822
0.243243243,0.063964844,-0.108398438,1.036865234,1.10244751,0.152587891,-0.308990479
0.27027027,0.067871094,-0.104248047,1.036376953,1.491546631,-0.617980957,4.287719727
0.297297297,0.072998047,-0.111328125,1.031005859,3.452301025,-2.155303955,-2.60925293
0.324324324,0.0703125,-0.111083984,1.04296875,0.709533691,-1.770019531,0.839233398
0.351351351,0.067626953,-0.115722656,1.042480469,0.709533691,-3.307342529,-0.308990479
0.378378378,0.069335938,-0.109863281,1.037353516,-0.072479248,-0.617980957,0.072479248
0.405405405,0.073242188,-0.104003906,1.039794922,2.27355957,1.300811768,3.13949585
0.432432432,0.073242188,-0.104003906,1.039794922,2.27355957,1.300811768,3.13949585
0.459459459,0.069091797,-0.110839844,1.028808594,-0.858306885,-2.780914307,-2.223968506
0.486486486,0.067138672,-0.107421875,1.035400391,-2.815246582,3.604888916,1.224517822
0.513513514,0.069824219,-0.107910156,1.032226563,0.316619873,-1.354217529,-2.223968506
0.540540541,0.067138672,-0.106201172,1.038818359,-0.072479248,-1.388549805,5.435943604
0.567567568,0.069580078,-0.106689453,1.038085938,-0.858306885,-2.155303955,-0.694274902
0.594594595,0.069580078,-0.106689453,1.038085938,-0.858306885,-2.155303955,-0.694274902
0.621621622,0.074462891,-0.107421875,1.040039063,0.316619873,-0.617980957,0.839233398
0.648648649,0.071777344,-0.106933594,1.036621094,1.10244751,-2.536773682,2.372741699
0.675675676,0.064941406,-0.10546875,1.032714844,-2.815246582,-2.986907959,-1.842498779
0.702702703,0.070800781,-0.116943359,1.034423828,4.627227783,-1.003265381,0.839233398
0.72972973,0.064453125,-0.107177734,1.037109375,-0.858306885,-3.402709961,1.991271973
0.756756757,0.064453125,-0.107177734,1.037109375,-0.858306885,-3.402709961,1.991271973
0.783783784,0.065673828,-0.111572266,1.041992188,-0.858306885,-1.003265381,4.67300415
0.810810811,0.067626953,-0.111816406,1.037597656,3.059387207,-0.583648682,1.605987549
0.837837838,0.06640625,-0.110351563,1.037597656,1.10244751,0.152587891,0.076293945
